metric,parameter,S1,S1_conf,ST,ST_conf
pa_depletion_resiliency,m_lb,0.00018803879735563545,0.0003754499243491177,0.0010302448170292188,0.002057050694081661
pa_depletion_resiliency,tau_recovery,0.00030989948366109277,0.0016820604315119204,0.001346378809105582,0.0020618735560055585
pa_depletion_resiliency,q_nj_warning,0.00018803879735563545,0.0003754499243491177,0.0010302448170292188,0.002057050694081661
pa_depletion_resiliency,ierq_max_bg,0.00018803879735563545,0.0003754499243491177,0.0010302448170292188,0.002057050694081661
nj_lb_restriction_days,alpha_betz_warning,0.18127485077071853,0.03716949994283302,0.20273051028714642,0.018990599560829415
nj_lb_restriction_days,alpha_bm_warning,0.7582352287488228,0.05904670498587524,0.781727845230945,0.05985464681907504
nj_lb_restriction_days,m_lb,-0.00035552224224938824,0.0007025109706561222,1.633274091027312e-05,3.2273451016047284e-05
nj_lb_restriction_days,tau_recovery,0.035352512015513295,0.01565722194837914,0.03677126252436661,0.0033310851602299653
nj_lb_restriction_days,q_nj_warning,-0.00035552224224938824,0.0007025109706561222,1.633274091027312e-05,3.2273451016047284e-05
nj_lb_restriction_days,ierq_max_bg,-0.00035552224224938824,0.0007025109706561222,1.633274091027312e-05,3.2273451016047284e-05
nj_shortfall_days,alpha_betz_warning,0.17618536640135066,0.03247440759931177,0.19739019429444435,0.018689927371352853
nj_shortfall_days,alpha_bm_warning,0.7614269080808735,0.0655052708798439,0.784543766846074,0.06462454060111747
nj_shortfall_days,m_lb,-0.00046106047430223573,0.0008987292540341632,2.7539587450489856e-05,5.368196639116531e-05
nj_shortfall_days,tau_recovery,0.037298139609620765,0.017309742544915078,0.03890782901487498,0.003260139993565856
nj_shortfall_days,q_nj_warning,-0.00046106047430223573,0.0008987292540341632,2.7539587450489856e-05,5.368196639116531e-05
nj_shortfall_days,ierq_max_bg,-0.00046106047430223573,0.0008987292540341632,2.7539587450489856e-05,5.368196639116531e-05
nj_delivery_reliability,alpha_betz_warning,0.28797027849780277,0.0433332252519707,0.31640205180653086,0.02868822515468311
nj_delivery_reliability,alpha_bm_warning,0.6443487718212815,0.061147740411611966,0.6757120093097321,0.05583518103250588
nj_delivery_reliability,m_lb,1.2043523245258451e-05,2.3235625753120067e-05,1.9385177715420973e-08,3.739991407668667e-08
nj_delivery_reliability,tau_recovery,0.03596191973719598,0.017902855945744953,0.03666363096890317,0.0034777962658279725
nj_delivery_reliability,q_nj_warning,1.2043523245258451e-05,2.3235625753120067e-05,1.9385177715420973e-08,3.739991407668667e-08
nj_delivery_reliability,ierq_max_bg,1.2043523245258451e-05,2.3235625753120067e-05,1.9385177715420973e-08,3.739991407668667e-08
nj_mean_delivery_mgd,alpha_betz_warning,0.19789416998253864,0.036039982167392716,0.22065836393173496,0.017131556641544064
nj_mean_delivery_mgd,alpha_bm_warning,0.733298852419638,0.060474584111951175,0.7580754816075936,0.058814380494871574
nj_mean_delivery_mgd,m_lb,-0.00046293381049038483,0.0008168925034101892,2.7613513347434983e-05,4.872677591304461e-05
nj_mean_delivery_mgd,tau_recovery,0.04216143885754209,0.019506023259673648,0.0436244268663628,0.0037352381115540673
nj_mean_delivery_mgd,q_nj_warning,-0.00046293381049038483,0.0008168925034101892,2.7613513347434983e-05,4.872677591304461e-05
nj_mean_delivery_mgd,ierq_max_bg,-0.00046293381049038483,0.0008168925034101892,2.7613513347434983e-05,4.872677591304461e-05
ny_reliability,alpha_betz_warning,-0.0063327952897604635,0.19236402481552975,0.9999563695997301,0.3288864049829569
ny_reliability,alpha_bm_warning,-0.004583450944973101,0.28105073749739273,0.9929727327421423,0.2271892286818522
ny_reliability,m_lb,-0.009829983385358749,0.009337755523647535,0.9801346274668806,0.9310552391348796
ny_reliability,tau_recovery,-0.009637720637614698,0.02343005070242268,0.9830482872866738,0.8244063671678383
ny_reliability,q_nj_warning,-0.009829983385358749,0.009337755523647535,0.9801346274668806,0.9310552391348796
ny_reliability,ierq_max_bg,-0.009829983385358749,0.009337755523647535,0.9801346274668806,0.9310552391348796
ny_resiliency,alpha_betz_warning,0.040323173282389484,0.5169081611659219,0.9957296078951552,0.11225957521861486
ny_resiliency,alpha_bm_warning,0.01515409937339114,0.06154493955482386,0.9626182320398633,0.5470748877393269
ny_resiliency,m_lb,0.01162532158310115,0.010880489812088025,0.9490263811138431,0.888222471722578
ny_resiliency,tau_recovery,0.0115403275784729,0.023544868686275262,0.9545495642966817,0.7446477164894093
ny_resiliency,q_nj_warning,0.01162532158310115,0.010880489812088025,0.9490263811138431,0.888222471722578
ny_resiliency,ierq_max_bg,0.01162532158310115,0.010880489812088025,0.9490263811138431,0.888222471722578
ny_vulnerability,alpha_betz_warning,6.043453900219551e-05,0.17810054781038018,1.0092501275475463,0.22313255054723968
ny_vulnerability,alpha_bm_warning,-0.00014883899973997693,0.04714569343009545,0.9998732500056495,0.33261403825633346
ny_vulnerability,m_lb,-0.00010678834111929562,0.00010421436590571771,0.9991163381503617,0.975034114726675
ny_vulnerability,tau_recovery,-0.00014785924536991804,0.047246573642709636,0.9999994019814434,0.2517452439343194
ny_vulnerability,q_nj_warning,-0.00010678834111929562,0.00010421436590571771,0.9991163381503617,0.975034114726675
ny_vulnerability,ierq_max_bg,-0.00010678834111929562,0.00010421436590571771,0.9991163381503617,0.975034114726675
ny_shortfall_days,alpha_betz_warning,-0.006332795289827649,0.1990254315067629,0.9999563695997451,0.33393397449002116
ny_shortfall_days,alpha_bm_warning,-0.004583450945054628,0.2850007577663308,0.9929727327421652,0.25392913527393685
ny_shortfall_days,m_lb,-0.009829983385411334,0.009628942821418322,0.9801346274668229,0.9600891390291265
ny_shortfall_days,tau_recovery,-0.009637720637671493,0.02648862023381072,0.9830482872867404,0.850986881847169
ny_shortfall_days,q_nj_warning,-0.009829983385411334,0.009628942821418322,0.9801346274668229,0.9600891390291265
ny_shortfall_days,ierq_max_bg,-0.009829983385411334,0.009628942821418322,0.9801346274668229,0.9600891390291265
